MCU model,Status,Result,Remark
STM32F103C8T6,finished,pass,
STM32F103CBT6,finished,pass,
GD32F103C8T6,finished,pass,
GD32F103CBT6,finished,pass,
HK32F103C8T6,finished,pass,
HK32F103CBT6,finished,pass,
CKS32F103C8T6,finished,pass,
CKS32F103CBT6,not started,,
APM32F103C8T6,finished,pass,
APM32F103CBT6,not started,,
MM32F103C8T6,finished,failed,STLink: Unknown chip
MM32F103CBT6,finished,failed,STLink: Unknown chip
AIR32F103CBT6,finished,failed,+ACI-SPI, IIC bus error+ACI-
AIR32F103CCT6,finished,failed,+ACI-Alternative to STM32F103CBT6, 256 KB flash version
SPI, IIC bus error+ACI-
N32G452CBL7,finished,pass,+ACI-Alternative to STM32F103CBT6, Stlink not recognize, use Jlink OB instead+ACI-
N32G452CCL7,finished,pass,+ACI-Alternative to STM32F103CBT6, 256 KB flash version, Stlink not recognize, , use Jlink OB instead+ACI-
AT32F413C8T7,finished,failed,+ACI-Alternative to STM32F103C8T6, Stlink not recognize+ACI-
AT32F413CBT7,finished,failed,+ACI-Alternative to STM32F103CBT6, Stlink not recognize+ACI-
CH32F103C8T6,finished,failed,Firmware crash
